game,game_time,blue_team,blue_team_dragons,blue_team_gold,blue_team_inhibitors,blue_team_barons,blue_team_towers,blue_team_kills,blue_team_top,blue_team_top_kills,blue_team_top_deaths,blue_team_top_assists,blue_team_top_cs,blue_team_top_gold,blue_team_jungle,blue_team_jungle_kills,blue_team_jungle_deaths,blue_team_jungle_assists,blue_team_jungle_cs,blue_team_jungle_gold,blue_team_mid,blue_team_mid_kills,blue_team_mid_deaths,blue_team_mid_assists,blue_team_mid_cs,blue_team_mid_gold,blue_team_bottom,blue_team_bottom_kills,blue_team_bottom_deaths,blue_team_bottom_assists,blue_team_bottom_cs,blue_team_bottom_gold,blue_team_support,blue_team_support_kills,blue_team_support_deaths,blue_team_support_assists,blue_team_support_cs,blue_team_support_gold,red_team,red_team_dragons,red_team_gold,red_team_inhibitors,red_team_barons,red_team_towers,red_team_kills,red_team_top,red_team_top_kills,red_team_top_deaths,red_team_top_assists,red_team_top_cs,red_team_top_gold,red_team_jungle,red_team_jungle_kills,red_team_jungle_deaths,red_team_jungle_assists,red_team_jungle_cs,red_team_jungle_gold,red_team_mid,red_team_mid_kills,red_team_mid_deaths,red_team_mid_assists,red_team_mid_cs,red_team_mid_gold,red_team_bottom,red_team_bottom_kills,red_team_bottom_deaths,red_team_bottom_assists,red_team_bottom_cs,red_team_bottom_gold,red_team_support,red_team_support_kills,red_team_support_deaths,red_team_support_assists,red_team_support_cs,red_team_support_gold
1,early,RED,[],0,0,0,0,0,fNb,0,0,0,0,0,Aegis,0,0,0,0,0,Grevthar,0,0,0,0,0,Brance,0,0,0,0,0,JoJo,0,0,0,0,0,PNG,[],0,0,0,0,0,Wizer,0,0,0,0,0,CarioK,0,0,0,0,0,dyNquedo,0,0,0,0,0,TitaN,0,0,0,0,0,Kuri,0,0,0,0,0
10,early,LOS,['infernal'],20.3 K,0,0,1,5,SuperCleber,0,0,0,83,3.4 K,Seize,0,0,3,72,3.7 K,Envy,1,0,0,95,4.0 K,Celo,4,0,1,106,5.8 K,Kabbie,0,1,5,11,3.5 K,FX,[],17.0 K,0,0,0,1,Kiari,0,0,0,104,4.0 K,sting,0,0,0,85,3.6 K,Fuuu,0,1,1,89,3.8 K,Kojima,1,2,0,55,3.1 K,scamber,0,2,0,13,2.4 K
100,early,PNG,[],24.5 K,0,0,1,7,Wizer,2,3,0,85,4.6 K,CarioK,1,1,3,68,4.4 K,dyNquedo,0,0,2,137,5.0 K,TitaN,2,2,3,111,6.3 K,Kuri,2,1,3,19,4.2 K,VKS,"['infernal', 'ocean']",23.2 K,0,0,0,7,Guigo,1,2,2,114,5.2 K,Disamis,2,1,2,82,4.8 K,Leleko,1,0,1,123,4.8 K,Smiley,1,1,1,129,4.9 K,ProDelta,1,3,2,21,3.6 K
101,early,VKS,['infernal'],19.7 K,0,0,0,2,Guigo,0,2,0,103,4.1 K,Disamis,0,1,1,80,3.7 K,Leleko,0,0,1,115,4.4 K,Smiley,1,1,1,87,4.0 K,ProDelta,1,1,1,23,3.5 K,PNG,[],21.0 K,0,0,0,5,Wizer,1,0,2,85,4.4 K,CarioK,1,1,1,68,3.8 K,dyNquedo,0,0,3,109,4.5 K,TitaN,1,1,0,105,4.4 K,Kuri,2,0,1,20,3.8 K
102,early,PNG,[],2.5 K,0,0,0,0,Wizer,0,0,0,0,500,CarioK,0,0,0,0,500,dyNquedo,0,0,0,0,500,TitaN,0,0,0,0,500,Kuri,0,0,0,0,500,VKS,[],2.5 K,0,0,0,0,Guigo,0,0,0,0,500,Disamis,0,0,0,0,500,Leleko,0,0,0,0,500,Smiley,0,0,0,0,500,ProDelta,0,0,0,0,500
103,early,LLL,['mountain'],35.8 K,0,0,2,9,Robo,0,0,4,174,7.0 K,Croc,1,3,6,124,7.0 K,tinowns,3,0,2,181,7.9 K,Route,2,0,6,159,8.3 K,RedBert,3,3,4,20,5.6 K,RED,"['chemtech', 'hextech']",33.1 K,0,0,1,6,fNb,0,2,1,170,6.6 K,Aegis,1,2,5,118,6.2 K,Grevthar,0,2,4,187,6.9 K,Brance,5,1,1,165,8.6 K,JoJo,0,2,6,20,4.8 K
104,early,RED,[],2.5 K,0,0,0,0,fNb,0,0,0,0,500,Aegis,0,0,0,0,500,Grevthar,0,0,0,0,500,Brance,0,0,0,0,500,JoJo,0,0,0,0,500,LLL,[],2.5 K,0,0,0,0,Robo,0,0,0,0,500,Croc,0,0,0,0,500,tinowns,0,0,0,0,500,Route,0,0,0,0,500,RedBert,0,0,0,0,500
105,early,LLL,[],27.7 K,0,0,1,7,Robo,0,0,0,139,5.1 K,Croc,3,1,1,90,5.3 K,tinowns,0,0,2,149,5.8 K,Route,4,1,3,146,7.2 K,RedBert,0,1,7,13,4.3 K,RED,"['infernal', 'ocean']",24.9 K,0,0,0,3,fNb,0,1,0,138,5.4 K,Aegis,0,1,1,106,4.7 K,Grevthar,1,0,0,141,5.6 K,Brance,1,2,1,131,5.4 K,JoJo,1,3,1,25,3.8 K
106,early,KBM,[],27.0 K,0,0,1,2,Lonely,0,1,0,139,5.4 K,Malrang,1,1,1,117,5.7 K,Hauz,0,3,1,161,6.3 K,Netuno,1,1,0,152,6.1 K,Ceos,0,2,1,23,3.5 K,RED,"['cloud', 'infernal']",31.4 K,0,0,3,8,fNb,1,0,0,169,7.1 K,Aegis,2,1,6,104,6.3 K,Grevthar,2,1,3,144,6.4 K,Brance,3,0,4,169,7.6 K,JoJo,0,0,6,22,4.0 K
107,early,KBM,[],0,0,0,0,0,Lonely,0,0,0,0,0,Malrang,0,0,0,0,0,Hauz,0,0,0,0,0,Netuno,0,0,0,0,0,Ceos,0,0,0,0,0,RED,[],0,0,0,0,0,fNb,0,0,0,0,0,Aegis,0,0,0,0,0,Grevthar,0,0,0,0,0,Brance,0,0,0,0,0,JoJo,0,0,0,0,0
